Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Relatives,Title,Child
0,3,male,22.0,1,0,7.25,S,8,1,Mr,0
1,1,female,38.0,1,0,71.2833,C,3,1,Mrs,0
1,3,female,26.0,0,0,7.925,S,8,0,Miss,0
1,1,female,35.0,1,0,53.1,S,3,1,Mrs,0
0,3,male,35.0,0,0,8.05,S,8,0,Mr,0
0,3,male,28.231659780419978,0,0,8.4583,Q,8,0,Mr,0
0,1,male,54.0,0,0,51.8625,S,5,0,Mr,0
0,3,male,2.0,3,1,21.075,S,8,4,Master,1
1,3,female,27.0,0,2,11.1333,S,8,2,Mrs,0
1,2,female,14.0,1,0,30.0708,C,8,1,Mrs,0
1,3,female,4.0,1,1,16.7,S,7,2,Miss,1
1,1,female,58.0,0,0,26.55,S,3,0,Miss,0
0,3,male,20.0,0,0,8.05,S,8,0,Mr,0
0,3,male,39.0,1,5,31.275,S,8,6,Mr,0
0,3,female,14.0,0,0,7.8542,S,8,0,Miss,0
1,2,female,55.0,0,0,16.0,S,8,0,Mrs,0
0,3,male,2.0,4,1,29.125,Q,8,5,Master,1
1,2,male,35.01264153179582,0,0,13.0,S,8,0,Mr,0
0,3,female,31.0,1,0,18.0,S,8,1,Mrs,0
1,3,female,25.336781706965326,0,0,7.225,C,8,0,Mrs,0
0,2,male,35.0,0,0,26.0,S,8,0,Mr,0
1,2,male,34.0,0,0,13.0,S,4,0,Mr,0
1,3,female,15.0,0,0,8.0292,Q,8,0,Miss,0
1,1,male,28.0,0,0,35.5,S,1,0,Mr,0
0,3,female,8.0,3,1,21.075,S,8,4,Miss,1
1,3,female,38.0,1,5,31.3875,S,8,6,Mrs,0
0,3,male,28.25299938609981,0,0,7.225,C,8,0,Mr,0
0,1,male,19.0,3,2,263.0,S,3,5,Mr,0
1,3,female,25.325462182084323,0,0,7.8792,Q,8,0,Miss,0
0,3,male,28.24139263389838,0,0,7.8958,S,8,0,Mr,0
0,1,male,40.0,0,0,27.7208,C,8,0,Other,0
1,1,female,32.88734676035182,1,0,146.5208,C,2,1,Mrs,0
1,3,female,25.32769771038549,0,0,7.75,Q,8,0,Miss,0
0,2,male,66.0,0,0,10.5,S,8,0,Mr,0
0,1,male,28.0,1,0,82.1708,C,8,1,Mr,0
0,1,male,42.0,1,0,52.0,S,8,1,Mr,0
1,3,male,28.252926714127174,0,0,7.2292,C,8,0,Mr,0
0,3,male,21.0,0,0,8.05,S,8,0,Mr,0
0,3,female,18.0,2,0,18.0,S,8,2,Miss,0
1,3,female,14.0,1,0,11.2417,C,8,1,Miss,0
0,3,female,40.0,1,0,9.475,S,8,1,Mrs,0
0,2,female,27.0,1,0,21.0,S,8,1,Mrs,0
0,3,male,28.24139263389838,0,0,7.8958,C,8,0,Mr,0
1,2,female,3.0,1,2,41.5792,C,8,3,Miss,1
1,3,female,19.0,0,0,7.8792,Q,8,0,Miss,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
0,3,male,24.35146555493272,1,0,15.5,Q,8,1,Mr,0
1,3,female,25.32769771038549,0,0,7.75,Q,8,0,Miss,0
0,3,male,20.486195038112328,2,0,21.6792,C,8,2,Mr,0
0,3,female,18.0,1,0,17.8,S,8,1,Mrs,0
0,3,male,7.0,4,1,39.6875,S,8,5,Master,1
0,3,male,21.0,0,0,7.8,S,8,0,Mr,0
1,1,female,49.0,1,0,76.7292,C,4,1,Mrs,0
1,2,female,29.0,1,0,26.0,S,8,1,Mrs,0
0,1,male,65.0,0,1,61.9792,C,2,1,Mr,0
1,1,male,41.48289350073422,0,0,35.5,S,3,0,Mr,0
1,2,female,21.0,0,0,10.5,S,8,0,Miss,0
0,3,male,28.5,0,0,7.2292,C,8,0,Mr,0
1,2,female,5.0,1,2,27.75,S,8,3,Miss,1
0,3,male,11.0,5,2,46.9,S,8,7,Master,1
0,3,male,22.0,0,0,7.2292,C,8,0,Mr,0
1,1,female,38.0,0,0,80.0,S,2,0,Miss,0
0,1,male,45.0,1,0,83.475,S,3,1,Mr,0
0,3,male,4.0,3,2,27.9,S,8,5,Master,1
0,1,male,41.61749583634156,0,0,27.7208,C,8,0,Mr,0
1,3,male,23.60949922614194,1,1,15.2458,C,8,2,Master,0
1,2,female,29.0,0,0,10.5,S,6,0,Mrs,0
0,3,male,19.0,0,0,8.1583,S,8,0,Mr,0
1,3,female,17.0,4,2,7.925,S,8,6,Miss,0
0,3,male,26.0,2,0,8.6625,S,8,2,Mr,0
0,2,male,32.0,0,0,10.5,S,8,0,Mr,0
0,3,female,16.0,5,2,46.9,S,8,7,Miss,0
0,2,male,21.0,0,0,73.5,S,8,0,Mr,0
0,3,male,26.0,1,0,14.4542,C,8,1,Mr,0
1,3,male,32.0,0,0,56.4958,S,8,0,Mr,0
0,3,male,25.0,0,0,7.65,S,6,0,Mr,0
0,3,male,28.24139263389838,0,0,7.8958,S,8,0,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
1,2,male,0.83,0,2,29.0,S,8,2,Master,1
1,3,female,30.0,0,0,12.475,S,8,0,Miss,0
0,3,male,22.0,0,0,9.0,S,8,0,Mr,0
1,3,male,29.0,0,0,9.5,S,8,0,Mr,0
1,3,female,25.32704885348693,0,0,7.7875,Q,8,0,Miss,0
0,1,male,28.0,0,0,47.1,S,8,0,Mr,0
1,2,female,17.0,0,0,10.5,S,8,0,Miss,0
1,3,female,33.0,3,0,15.85,S,8,3,Mrs,0
0,3,male,16.0,1,3,34.375,S,8,4,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
1,1,female,23.0,3,2,263.0,S,3,5,Miss,0
0,3,male,24.0,0,0,8.05,S,8,0,Mr,0
0,3,male,29.0,0,0,8.05,S,8,0,Mr,0
0,3,male,20.0,0,0,7.8542,S,8,0,Mr,0
0,1,male,46.0,1,0,61.175,S,5,1,Mr,0
0,3,male,26.0,1,2,20.575,S,8,3,Mr,0
0,3,male,59.0,0,0,7.25,S,8,0,Mr,0
0,3,male,28.2387245343315,0,0,8.05,S,8,0,Mr,0
