Survived,Pclass,Age,SibSp,Parch,Fare,Deck,Relatives,Child,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other
0,3,22.0,1,0,7.25,8,1,0,1,0,1,0,1,0,0
1,1,38.0,1,0,71.2833,3,1,0,0,0,0,0,0,1,0
1,3,26.0,0,0,7.925,8,0,0,0,0,1,1,0,0,0
1,1,35.0,1,0,53.1,3,1,0,0,0,1,0,0,1,0
0,3,35.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,28.231659780419978,0,0,8.4583,8,0,0,1,1,0,0,1,0,0
0,1,54.0,0,0,51.8625,5,0,0,1,0,1,0,1,0,0
0,3,2.0,3,1,21.075,8,4,1,1,0,1,0,0,0,0
1,3,27.0,0,2,11.1333,8,2,0,0,0,1,0,0,1,0
1,2,14.0,1,0,30.0708,8,1,0,0,0,0,0,0,1,0
1,3,4.0,1,1,16.7,7,2,1,0,0,1,1,0,0,0
1,1,58.0,0,0,26.55,3,0,0,0,0,1,1,0,0,0
0,3,20.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,39.0,1,5,31.275,8,6,0,1,0,1,0,1,0,0
0,3,14.0,0,0,7.8542,8,0,0,0,0,1,1,0,0,0
1,2,55.0,0,0,16.0,8,0,0,0,0,1,0,0,1,0
0,3,2.0,4,1,29.125,8,5,1,1,1,0,0,0,0,0
1,2,35.01264153179582,0,0,13.0,8,0,0,1,0,1,0,1,0,0
0,3,31.0,1,0,18.0,8,1,0,0,0,1,0,0,1,0
1,3,25.336781706965326,0,0,7.225,8,0,0,0,0,0,0,0,1,0
0,2,35.0,0,0,26.0,8,0,0,1,0,1,0,1,0,0
1,2,34.0,0,0,13.0,4,0,0,1,0,1,0,1,0,0
1,3,15.0,0,0,8.0292,8,0,0,0,1,0,1,0,0,0
1,1,28.0,0,0,35.5,1,0,0,1,0,1,0,1,0,0
0,3,8.0,3,1,21.075,8,4,1,0,0,1,1,0,0,0
1,3,38.0,1,5,31.3875,8,6,0,0,0,1,0,0,1,0
0,3,28.25299938609981,0,0,7.225,8,0,0,1,0,0,0,1,0,0
0,1,19.0,3,2,263.0,3,5,0,1,0,1,0,1,0,0
1,3,25.325462182084323,0,0,7.8792,8,0,0,0,1,0,1,0,0,0
0,3,28.24139263389838,0,0,7.8958,8,0,0,1,0,1,0,1,0,0
0,1,40.0,0,0,27.7208,8,0,0,1,0,0,0,0,0,1
1,1,32.88734676035182,1,0,146.5208,2,1,0,0,0,0,0,0,1,0
1,3,25.32769771038549,0,0,7.75,8,0,0,0,1,0,1,0,0,0
0,2,66.0,0,0,10.5,8,0,0,1,0,1,0,1,0,0
0,1,28.0,1,0,82.1708,8,1,0,1,0,0,0,1,0,0
0,1,42.0,1,0,52.0,8,1,0,1,0,1,0,1,0,0
1,3,28.252926714127174,0,0,7.2292,8,0,0,1,0,0,0,1,0,0
0,3,21.0,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,18.0,2,0,18.0,8,2,0,0,0,1,1,0,0,0
1,3,14.0,1,0,11.2417,8,1,0,0,0,0,1,0,0,0
0,3,40.0,1,0,9.475,8,1,0,0,0,1,0,0,1,0
0,2,27.0,1,0,21.0,8,1,0,0,0,1,0,0,1,0
0,3,28.24139263389838,0,0,7.8958,8,0,0,1,0,0,0,1,0,0
1,2,3.0,1,2,41.5792,8,3,1,0,0,0,1,0,0,0
1,3,19.0,0,0,7.8792,8,0,0,0,1,0,1,0,0,0
0,3,28.2387245343315,0,0,8.05,8,0,0,1,0,1,0,1,0,0
0,3,24.35146555493272,1,0,15.5,8,1,0,1,1,0,0,1,0,0
1,3,25.32769771038549,0,0,7.75,8,0,0,0,1,0,1,0,0,0
0,3,20.486195038112328,2,0,21.6792,8,2,0,1,0,0,0,1,0,0
0,3,18.0,1,0,17.8,8,1,0,0,0,1,0,0,1,0
0,3,7.0,4,1,39.6875,8,5,1,1,0,1,0,0,0,0
0,3,21.0,0,0,7.8,8,0,0,1,0,1,0,1,0,0
1,1,49.0,1,0,76.7292,4,1,0,0,0,0,0,0,1,0
1,2,29.0,1,0,26.0,8,1,0,0,0,1,0,0,1,0
0,1,65.0,0,1,61.9792,2,1,0,1,0,0,0,1,0,0
1,1,41.48289350073422,0,0,35.5,3,0,0,1,0,1,0,1,0,0
1,2,21.0,0,0,10.5,8,0,0,0,0,1,1,0,0,0
0,3,28.5,0,0,7.2292,8,0,0,1,0,0,0,1,0,0
1,2,5.0,1,2,27.75,8,3,1,0,0,1,1,0,0,0
